registry_id,stat_land_combined,geo_id_revised,Stone_Unique_ID_revised,note,uncertainty_class
110000460803,F2,0032580000028,310114,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460901,F2,0402320000002,345422,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460901,F2,0402320000089,388433,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460901,F2,0402320000090,394161,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460901,F2,0402320000091,384873,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460910,F2,0401980000006,387625,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460910,F2,0401980000101,338770,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460910,F2,0401980000102,370259,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460910,F2,0401980000123,378813,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460965,F2,1199950010001,242944,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460983,F2,0402400050046,99115,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000460983,F2,0402400050120,114301,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461054,F2,1199950010002,303704,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461054,F2,1199950010003,299998,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461054,F2,1199950010005,237061,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461063,F2,1253600010001,77784,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461063,F2,1253600010002,73501,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461107,F2,0600520050001,343139,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461116,F2,0401990000006,386900,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461134,F2,0401990000002,372396,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461134,F2,0401990000011,323631,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461143,F2,0402630000089,224894,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461410,F2,0151300000060,275035,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461410,F2,0151300000136,225802,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461429,F2,0836050000006,567820,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461465,F2,0470680000005,514019,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461465,F2,0470680000045,535471,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461535,F2,1148090000002,1176955,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461571,F2,0640150000176,1018709,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461731,F2,0431490000101,107131,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461731,F2,0431490000167,113974,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461759,F2,0441160000047,739228,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461759,F2,0441160000169,697818,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461802,F2,0261110000027,635095,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461802,F2,0261110000404,629850,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461839,F2,0410370000241,212777,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461839,F2,0410370000256,197336,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461857,F2,0451870000014,654950,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461884,F2,1213500010001,704790,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000461937,F2,1164060000001,1181673,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000462017,F2,1151830020040,535148,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
