REGISTRY_ID,Previous_S,Source,Location_S,New_,LOCATION_ADDRESS,PRIMARY_NAME,CITY_NAME,COUNTY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,FAC_COLLEC,LONGITUDE83,FAC_ACCURACY,FAC_REFERENCE,AIR,FAC_DERIVE,AIRS_AFS,E_GGRT,EIS,ICIS,ICIS_old,NPDES,OSHA_OIS,RCRAINFO,RMP,SEMS_CERCL,TRIS,NAICS1,TX_TCEQ_AC,NAICS2,NAICS3,NAICS4,NAICS5,ID,NAICS6,lat_merge,lon_merge,edf_source,latlon_merge_src,FIPS_CODE,CENSUS_BLOCK_CODE,HDATUM_DESC,GC_postal_code,GC_location_address,GC_location_type,GC_geocode_result,GC_geocode_attempt,GC_lat,GC_lng
110000460803,NA,SEMS,NA,Y,2408 EVERETT ST.,DEE FOUNDRIES INC.,HOUSTON,HARRIS,TX,77009,29.78273,ADDRESS MATCHING-HOUSE NUMBER,-95.36292,30,CENTER OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,7826421,NA,TXR05Z817,NA,NA,NA,TXN000607053,NA,NA,NA,NA,NA,NA,NA,1,NA,29.78273,-95.36292,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000461465,NA,ECHO/FRS,NA,Y,8700 NORTH FREEWAY,EXXON COMPANY USA HOUSTON,HOUSTON,HARRIS,TX,77037,29.88653,ADDRESS MATCHING-HOUSE NUMBER,-95.41163,30,CENTER OF A FACILITY OR STATION,TX0000004820100084,12040104,NA,NA,4926711,0,NA,NA,NA,TXD000803338,NA,NA,0,424710,RN100212745,NA,NA,NA,NA,2,NA,29.88653,-95.41163,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000461731,NA,ECHO,NA,Y,10521 SHELDON RD.,EVANS HOUSTON CORPORATION,HOUSTON,HARRIS,TX,77044,29.86819,ADDRESS MATCHING-HOUSE NUMBER,-95.12822,30,CENTER OF A FACILITY OR STATION,TX0000004820100435,12040104,NA,NA,"4777311,missing NEI",0,TXR05BX12,NA,NA,TXD000835157,NA,NA,77044VNSCP10521,42469,NA,424690,42269,49319,332439,3,0,29.86819,-95.12822,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000463775,NA,EIS - Keep,NA,Y,301 DOCK RD,DALLAS GROUP OF AMERICA,TEXAS CITY,GALVESTON,TX,77590,29.37514,INTERPOLATION-MAP,-94.89949,2,CENTER OF FACILITY,0,12040204,NA,NA,17109811,0,NA,NA,NA,0,NA,NA,0,325180,NA,NA,NA,NA,NA,4,NA,29.37514,-94.89949,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000463846,NA,ECHO/FRS,NA,Y,159 LEVEE RD.,INTERCOASTAL TERMINAL INCORPORATED,TEXAS CITY,GALVESTON,TX,77592,29.36194,UNKNOWN,-94.91111,17400,POINT WHERE SUBSTANCE IS RELEASED,0,12040204,NA,NA,"4853811,missing NEI",0,NA,NA,NA,0,NA,NA,77592NTRCS159LE,424710,NA,NA,NA,NA,NA,5,NA,29.36194,-94.91111,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000495152,NA,ECHO/FRS,NA,Y,2661 STEVENS STREET,HOUSTON HOUSTON TERMINAL,HOUSTON,HARRIS,TX,77026,29.78794,ADDRESS MATCHING-HOUSE NUMBER,-95.34403,30,CENTER OF A FACILITY OR STATION,TX0000004820100116,12040104,4820100116,NA,"3687711,missing NEI",0,NA,NA,NA,TXD059336602,NA,NA,77026MTVNT2661S,424710,RN100226125,NA,NA,NA,NA,6,NA,29.78794,-95.34403,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000495189,NA,SEMS,NA,Y,2101 NASA ROAD 1,NASA LYNDON B. JOHNSON SPACE CENTER,HOUSTON,HARRIS,TX,77058-3691,29.550229,INTERPOLATION-SATELLITE,-95.096977,0,CENTER OF A FACILITY OR STATION,NA,12040204,NA,NA,NA,0,NA,NA,NA,NA,NA,TX8800016125,NA,NA,NA,NA,NA,NA,NA,7,NA,29.550229,-95.096977,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000497800,NA,ECHO/FRS,NA,Y,100 JEFFERSON RD,PHILLIPS 66 PASADENA PRODUCT TERMINAL,PASADENA,HARRIS,TX,77506,29.715552,ADDRESS MATCHING-HOUSE NUMBER,-95.182761,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004820100152,12040104,4820100152,NA,4058111,0,NA,NA,NA,TXD074157637,NA,NA,77501PHLLP100JE,424710,RN101062610,NA,NA,NA,NA,8,NA,29.715552,-95.182761,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000503054,NA,ECHO/FRS,NA,Y,700 14TH STREET SOUTH,TEXAS CITY TERMINAL,TEXAS CITY,GALVESTON,TX,77590,29.37735,ADDRESS MATCHING-HOUSE NUMBER,-94.91434,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004816700014,12040204,NA,NA,"16638311,missing NEI",0,NA,TXG341522,NA,TXD000838698,NA,NA,0,424710,NA,NA,NA,NA,NA,9,NA,29.37735,-94.91434,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000504268,NA,ECHO/FRS,NA,Y,1943 BATTLEGROUND RD.,"INTERCONTINENTAL TERMINALS COMPANY, LLC",DEER PARK,HARRIS,TX,77536,29.735078,INTERPOLATION-SATELLITE,-95.096375,18700,CENTER OF A FACILITY OR STATION,TX0000004820100153,12040104,NA,NA,6422011,0,NA,NA,NA,TXD073912974,NA,NA,0,493190,RN100210806,NA,NA,NA,NA,10,NA,29.735078,-95.096375,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
