registry_id,fac_src,Stone_Unique_ID_revised,geo_id_revised,stat_land_comb,uncertainty_class,registry_stone_id,note
110000460803,facilities_20220311.csv,310114,0032580000028,F2,1,110000460803,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000461465,facilities_20220311.csv,514019,0470680000005,F2,1,110000461465,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000461465,facilities_20220311.csv,535471,0470680000045,F2,1,110000461465,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000461731,facilities_20220311.csv,107131,0431490000101,F2,1,110000461731,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000461731,facilities_20220311.csv,113974,0431490000167,F2,1,110000461731,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000463775,facilities_20220311.csv,1730316,0072-0015-0000-000, ,3,110000463775,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110000463846,facilities_20220311.csv,1740256,0205-0032-0000-000, ,3,110000463846,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110000495152,facilities_20220311.csv,243528,0422010000015,F2,1,110000495152,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000495189,facilities_20220311.csv,136699,0532780000003,X1,3,110000495189,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110000504268,facilities_20220311.csv,77788,0231440000677,F1,2,110000504268,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110000504419,facilities_20220311.csv,104970,1005740000053,F2,1,110000504419,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000504419,facilities_20220311.csv,126821,1005740000075,F2,1,110000504419,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000504892,facilities_20220311.csv,255410,9700000000172,F2,1,110000504892,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000504892,facilities_20220311.csv,314195,0281710000016,F2,1,110000504892,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000824671,facilities_20220311.csv,332744,0401980000097,X1,3,110000824671,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110000824671,facilities_20220311.csv,338770,0401980000101,F2,1,110000824671,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000824671,facilities_20220311.csv,370259,0401980000102,F2,1,110000824671,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000824671,facilities_20220311.csv,378813,0401980000123,F2,1,110000824671,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000824671,facilities_20220311.csv,387625,0401980000006,F2,1,110000824671,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110000895568,facilities_20220311.csv,339831,0410290030030,F1,2,110000895568,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110000895764,facilities_20220311.csv,238918,1251430010001,F1,2,110000895764,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110001119922,facilities_20220311.csv,815479,1127550000004,F1,2,110001119922,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110001867551,facilities_20220311.csv,393455,0281810000084,F2,1,110001867551,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110001867668,facilities_20220311.csv,208145,0410700000070,F2,1,110001867668,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110001867739,facilities_20220311.csv,386100,0340870720003,X3,3,110001867739,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110001869354,facilities_20220311.csv,9144,0462100000010,F1,2,110001869354,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110002063980,facilities_20220311.csv,605748,0461220000010,F1,2,110002063980,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110002133708,facilities_20220311.csv,645590,0451800010018,C2,2,110002133708,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110002344222,facilities_20220311.csv,240108,0450020010230,F2,1,110002344222,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110002344222,facilities_20220311.csv,257814,0450020010185,F2,1,110002344222,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110002344222,facilities_20220311.csv,302217,0450020010140,F2,1,110002344222,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110002400642,facilities_20220311.csv,1726656,0163-0008-0000-000, ,3,110002400642,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110002436203,facilities_20220311.csv,2275755,NA,F2,1,110002436203,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110005025418,facilities_20220311.csv,324563,0451050000033,X1,3,110005025418,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110005025418,facilities_20220311.csv,344884,0451050000081,X2,3,110005025418,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110005025418,facilities_20220311.csv,349639,0451050000072,F2,1,110005025418,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110005068988,facilities_20220311.csv,606799,0690030090001,F1,2,110005068988,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110005107516,facilities_20220311.csv,1849580,02370086110,F2,1,110005107516,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110005120083,facilities_20220311.csv,1218793,1254360010001,F1,2,110005120083,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110005120476,facilities_20220311.csv,741066,0370530120008,F1,2,110005120476,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110005120966,facilities_20220311.csv,1817556,6433-15-00108,F1,2,110005120966,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110005129100,facilities_20220311.csv,1381205,0430640000029,F1,2,110005129100,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110005139251,facilities_20220311.csv,82886,0650430100003,F2,1,110005139251,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110005175764,facilities_20220311.csv,179839,1147230010005,F1,2,110005175764,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110005181524,facilities_20220311.csv,2295250,NA,F1,2,110005181524,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110005184601,facilities_20220311.csv,86852,1005150000114,F2,1,110005184601,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110006129723,facilities_20220311.csv,1250308,1142980010007,F1,2,110006129723,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110006452310,facilities_20220311.csv,502654,1379140010001,F1,2,110006452310,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110006452374,facilities_20220311.csv,1427015,1161590010005,F1,2,110006452374,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110007196809,facilities_20220311.csv,507876,0450530000060,F2,1,110007196809,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110007196809,facilities_20220311.csv,518426,0450530000009,F2,1,110007196809,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110008148646,facilities_20220311.csv,476878,0471950000014,X1,3,110008148646,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110008161416,facilities_20220311.csv,1001689,0420850000027,F1,2,110008161416,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110008973263,facilities_20220311.csv,215425,0151290010028,F2,1,110008973263,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110009312172,facilities_20220311.csv,588894,0650500030017,F1,2,110009312172,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110009320751,facilities_20220311.csv,297495,1318560010001,B1,3,110009320751,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110009495000,facilities_20220311.csv,263290,1254850010001,F2,1,110009495000,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110009496731,facilities_20220311.csv,274699,0410350000001,F2,1,110009496731,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110009505883,facilities_20220311.csv,244501,0281810000011,F2,1,110009505883,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110009505883,facilities_20220311.csv,248739,0281810000086,F2,1,110009505883,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110009780371,facilities_20220311.csv,96725,0402400050004,F2,1,110009780371,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110009780371,facilities_20220311.csv,110976,0402400050146,F2,1,110009780371,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110010922298,facilities_20220311.csv,1739423,0205-0013-0001-000, ,3,110010922298,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110012702539,facilities_20220311.csv,355099,1222490010001,F2,1,110012702539,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110013796721,facilities_20220311.csv,364669,0342070110007,F1,2,110013796721,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110013797221,facilities_20220311.csv,142132,1311290010001,F1,2,110013797221,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110015685873,facilities_20220311.csv,107953,0440500000004,F2,1,110015685873,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110018904907,facilities_20220311.csv,1023497,0421380000087,F1,2,110018904907,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110020515726,facilities_20220311.csv,1711989,0628-0037-0000-000, ,3,110020515726,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110021001832,facilities_20220311.csv,1875975, , ,3,110021001832,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110021102493,facilities_20220311.csv,689582,0451880000170,F1,2,110021102493,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110021360285,facilities_20220311.csv,525277,0041740000126,F2,1,110021360285,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110022266135,facilities_20220311.csv,184680,0410700000041,F1,2,110022266135,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110022436041,facilities_20220311.csv,460102,0441130001004,X1,3,110022436041,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110022523964,facilities_20220311.csv,1711172,0190-0047-0000-000, ,3,110022523964,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110024271786,facilities_20220311.csv,124839,0402400050033,F2,1,110024271786,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110031443196,facilities_20220311.csv,1740256,0205-0032-0000-000, ,3,110031443196,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110032884911,facilities_20220311.csv,595335,0342030010005,F2,1,110032884911,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110032884957,facilities_20220311.csv,584070,1327640010001,F2,1,110032884957,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110032912258,facilities_20220311.csv,1708910,0190-0027-0000-000, ,3,110032912258,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110032992215,facilities_20220311.csv,237353,0402460000136,F2,1,110032992215,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110032992215,facilities_20220311.csv,239975,0402460000147,F2,1,110032992215,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110032992563,facilities_20220311.csv,372521,0281800000004,C2,2,110032992563,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110033585234,facilities_20220311.csv,647255,0451880000372,F2,1,110033585234,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110033585234,facilities_20220311.csv,665748,0451880000056,D2,3,110033585234,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110033706648,facilities_20220311.csv,158553,0361740000001,F1,2,110033706648,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110033861220,facilities_20220311.csv,240392,1167500010001,F2,1,110033861220,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110033874911,facilities_20220311.csv,109475,0401770000010,F1,2,110033874911,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110034068265,facilities_20220311.csv,633937,0261120000051,F1,2,110034068265,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110034285921,facilities_20220311.csv,1476410,9430-00-03900,A2,3,110034285921,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110035071686,facilities_20220311.csv,583298,0421960000041,C2,2,110035071686,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110035071686,facilities_20220311.csv,615782,0421960000042,F1,2,110035071686,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110035071686,facilities_20220311.csv,638688,0421960000032,X1,3,110035071686,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110037287637,facilities_20220311.csv,195378,0401680000165,F2,1,110037287637,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110037287637,facilities_20220311.csv,204774,0401680000135,F2,1,110037287637,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110039011654,facilities_20220311.csv,572847,0620310020006,F1,2,110039011654,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110039114375,facilities_20220311.csv,9144,0462100000010,F1,2,110039114375,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110039147964,facilities_20220311.csv,1397502,1192150010001,F1,2,110039147964,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110039512284,facilities_20220311.csv,204250,1440500020049,NA,3,110039512284,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110039512319,facilities_20220311.csv,605748,0461220000010,F1,2,110039512319,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110040144331,facilities_20220311.csv,2293831,NA,F2,1,110040144331,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110040516705,facilities_20220311.csv,280467,0331640000002,C1,2,110040516705,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110040873196,facilities_20220311.csv,554382,0041730000121,F2,1,110040873196,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110040927067,facilities_20220311.csv,1738145,4424-0014-0100-002, ,3,110040927067,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110041043634,facilities_20220311.csv,91050,1005150000460,F2,1,110041043634,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110041043634,facilities_20220311.csv,96951,1005150000674,F2,1,110041043634,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110041231985,facilities_20220311.csv,1891586,02311016000,F2,1,110041231985,Direct location match with industrial parcel. Highest confidence of petrochemical interest.
110041740382,facilities_20220311.csv,200589,0432110000086,F1,2,110041740382,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.
110043696685,facilities_20220311.csv,106060,1005740000050,X1,3,110043696685,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110044213838,facilities_20220311.csv,1892247,63980163000,D1,3,110044213838,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110045464519,facilities_20220311.csv,2297332,NA,XVC,3,110045464519,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
