registry_id,stat_land_combined,geo_id_revised,Stone_Unique_ID_revised,note,uncertainty_class,registry_stone_id
110000461107,F2,0600520050001,343139,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1,110000461107
110001869443,F1,0410290010268,327798,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.,2,110001869443
110005047546,F1,1447880010001,674960,Direct location match with commercial or vacant land parcel. Could be gas station or legacy facility. May be of petrochemical interest.,2,110005047546
110000460787,B1,1440390000001,1113104,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110000460787
110000460910,X1,NA,332744,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110000460910
110000462981,1D1,1005150000669,86236,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110000462981
110000463212,X1,NA,160788,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110000463212
110000824671,X1,NA,332744,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110000824671
110005009454,X1,NA,445450,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110005009454
110005009454,X1,NA,452668,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110005009454
110005009454,X1,NA,463596,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110005009454
110005009454,X1,NA,466893,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110005009454
110005009454,X1,NA,478312,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110005009454
110005009454,X1,NA,478943,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110005009454
110005009454,X1,NA,486649,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110005009454
110005009454,X1,NA,490803,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest.",3,110005009454
