registry_stone_id,grid_id,uncertainty_class
1323,1964477,5
1323,1964478,5
1323,1964479,5
1323,1964480,5
1323,1966609,5
1323,1966610,5
1323,1966611,5
1323,1968741,5
1323,1968742,5
3117,1540150,5
3117,1540151,5
3117,1542282,5
3117,1542283,5
4345,1970873,5
4345,1970874,5
4345,1973005,5
4345,1973006,5
4345,1975137,5
4345,1975138,5
4345,1977269,5
4345,1977270,5
6774,1968741,5
6774,1968742,5
6774,1968743,5
6774,1968744,5
6774,1970873,5
6774,1970874,5
6774,1970875,5
6774,1970876,5
6774,1973006,5
6774,1973007,5
6774,1973008,5
6774,1975138,5
6774,1975139,5
6774,1977270,5
8376,1970871,5
8376,1970872,5
8376,1970873,5
8376,1973003,5
8376,1973004,5
8376,1973005,5
8376,1975136,5
8376,1975137,5
8376,1977269,5
13680,1964476,5
13680,1966608,5
13680,1968740,5
13680,1968741,5
13680,1970872,5
13680,1970873,5
17784,1898424,5
17784,1898425,5
17784,1900555,5
17784,1900556,5
17784,1902686,5
17784,1902687,5
17784,1904817,5
17784,1904818,5
17784,1906948,5
17784,1906949,5
17784,1909079,5
17784,1909080,5
17784,1911210,5
17784,1911211,5
17784,1913341,5
17784,1913342,5
17784,1915472,5
17784,1915473,5
20692,1968741,5
20692,1968742,5
20692,1968743,5
20692,1968744,5
20692,1970873,5
20692,1970874,5
20692,1970875,5
20692,1970876,5
20692,1973006,5
20692,1973007,5
20692,1973008,5
20692,1975138,5
20692,1975139,5
20692,1977270,5
21430,1964475,5
21430,1966607,5
21430,1968739,5
21430,1970871,5
25402,1951699,5
25402,1953830,5
25402,1953831,5
25402,1955961,5
25402,1955962,5
25402,1955963,5
25402,1958092,5
25402,1958093,5
25402,1958094,5
25402,1958095,5
25402,1960224,5
25402,1960225,5
25402,1960226,5
25402,1960227,5
25467,1894163,5
26418,1966612,5
26418,1966613,5
26418,1966614,5
26418,1966615,5
26418,1968744,5
26418,1968745,5
26418,1968746,5
26418,1970876,5
26418,1970877,5
26610,1962358,5
26610,1962359,5
26610,1964490,5
26610,1964491,5
31315,1970876,5
31315,1970877,5
31315,1973008,5
35290,1960224,5
35290,1960225,5
35290,1960226,5
35290,1960227,5
35290,1962357,5
35290,1962358,5
35290,1962359,5
40285,1785214,5
40285,1787346,5
44331,1787344,5
44331,1787345,5
44331,1787346,5
44331,1787347,5
44331,1787348,5
44331,1789476,5
44331,1789477,5
44331,1789478,5
44331,1789479,5
44331,1789480,5
44331,1789481,5
52908,1785212,5
52908,1785213,5
52908,1785214,5
52908,1787344,5
52908,1787345,5
52908,1787346,5
62197,1789476,5
62197,1789477,5
62197,1791608,5
62197,1791609,5
67015,1785214,5
67015,1785215,5
67015,1785216,5
67015,1787344,5
67015,1787345,5
67015,1787346,5
67015,1787347,5
67015,1787348,5
71611,2459047,5
71611,2459048,5
71695,2450525,5
71695,2450526,5
71695,2450527,5
71695,2450528,5
71695,2450529,5
71695,2450530,5
71695,2450531,5
71695,2452657,5
71695,2452658,5
71695,2452659,5
71695,2452660,5
