OBJECTID,agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,coord_acy_cd,coord_datum_cd,dec_lat_va,dec_long_va,coord_acy_cd_1,dec_coord_datum_cd,coord_meth_cd,huc_cd,peak_begin_date,peak_end_date,peak_count_nu
1,USGS,8042490,"Hillebrandt Bayou at Humble Rd nr LaBelle, TX",ST,295644,940806,S,NAD83,29.945555559999999,-94.135000000000005,S,NAD83,G,12040201,--,--,0
2,USGS,8042520,"Taylor Bayou bl LaBelle, TX",ST,295254,940306,S,NAD83,29.881666670000001,-94.051666699999998,S,NAD83,G,12040201,--,--,0
3,USGS,8042558,"W Fk Double Bayou at Eagle Ferry Rd nr Anahuac, TX",ST,294032,943958,S,NAD83,29.675555559999999,-94.666113899999999,S,NAD83,N,12040202,2017-08-30,2017-08-30,1
4,USGS,8065500,"Trinity Rv nr Midway, TX",ST,310428,954157,F,NAD27,31.074629840000000,-95.699392200000005,F,NAD83,M,12030202,1940-05-23,1970-03-13,31
5,USGS,8065700,"Caney Ck nr Madisonville, TX",ST,305612,955607,F,NAD27,30.936855900000001,-95.935508400000003,F,NAD83,M,12030202,1964-08-23,1976-05-31,13
6,USGS,8065800,"Bedias Ck nr Madisonville, TX",ST,305305,954640,S,NAD83,30.884722199999999,-95.777777799999996,S,NAD83,G,12030202,1922-05,2020-05-17,54
7,USGS,8066000,"Trinity Rv at Riverside, TX",ST,305133,952355,F,NAD27,30.859355140000002,-95.398830000000004,F,NAD83,M,12030202,1903-03-10,2020-04-02,77
8,USGS,8066100,"White Rk Ck nr Trinity, TX",ST,310306,952240,F,NAD27,31.051850750000000,-95.377996400000001,F,NAD83,M,12030202,1966-04-26,1984-10-29,20
9,USGS,8066170,"Kickapoo Ck nr Onalaska, TX",ST,305425,950518,F,NAD27,30.907132399999998,-95.088546800000003,F,NAD83,M,12030202,1965-12-03,2012-03-11,47
10,USGS,8066175,"Kickapoo Ck at Onalaska, TX",ST,305312,950449,H,NAD83,30.886749999999999,-95.080388900000003,H,NAD83,D,12030202,2013-10-31,2020-03-22,7
11,USGS,8066190,"Livingston Res nr Goodrich, TX",LK,303800,950036,F,NAD27,30.633530799999999,-95.010212999999993,F,NAD83,M,12030202,--,--,0
12,USGS,8066191,"Livingston Res Outflow Weir nr Goodrich, TX",ST,303755,950111,F,NAD27,30.632141930000000,-95.019935500000003,F,NAD83,M,12030202,1969-12-11,1994-09-26,25
13,USGS,8066200,"Long King Ck at Livingston, TX",ST,304258,945731,F,NAD27,30.716305999999999,-94.958823699999996,F,NAD83,M,12030202,1929-05,2019-10-16,59
14,USGS,8066250,"Trinity Rv nr Goodrich, TX",ST,303419,945655,F,NAD27,30.572145440000000,-94.948822300000003,F,NAD83,M,12030202,1942-05,2020-04-05,56
15,USGS,8066300,"Menard Ck nr Rye, TX",ST,302853,944647,S,NAD83,30.481388890000002,-94.779722199999995,S,NAD83,G,12030202,1929-05,2020-05-28,57
16,USGS,8066500,"Trinity Rv at Romayor, TX",ST,302530,945102,F,NAD27,30.425206700000000,-94.850762200000005,F,NAD83,M,12030202,1924-06-04,2020-04-05,97
17,USGS,8067000,"Trinity Rv at Liberty, TX",ST,300327,944905,F,NAD27,30.057715389999998,-94.818256700000006,F,NAD83,M,12030203,1922-05,2020-04-08,80
18,USGS,8067070,"CWA Canal nr Dayton, TX",ST-CA,295740,944836,F,NAD27,29.961328980000001,-94.810200300000005,F,NAD83,M,12030203,--,--,0
19,USGS,8067071,"CWA Canal at FM 1409 nr Dayton, TX",ST-CA,295701,945036,S,NAD83,29.950277780000000,-94.843333299999998,S,NAD83,D,12030203,--,--,0
20,USGS,8067074,"CWA Canal at Thompson Rd nr Baytown, TX",ST-CA,294824,950157,5,NAD83,29.806744439999999,-95.032397200000005,5,NAD83,G,12040203,--,--,0
21,USGS,8067100,"Trinity Rv nr Moss Bluff, TX",ST,295630,944627,F,NAD27,29.941884699999999,-94.774366000000001,F,NAD83,M,12030203,--,--,0
22,USGS,8067118,"Lk Charlotte nr Anahuac, TX",LK,295202,944253,F,NAD27,29.867441929999998,-94.714919699999996,F,NAD83,M,12030203,--,--,0
23,USGS,8067215,"Old Rv Cutoff nr Moss Bluff, TX",ST,295405,944611,S,NAD27,29.901607980000001,-94.769921299999993,S,NAD83,M,12030203,--,--,0
24,USGS,8067250,"Trinity Rv at IH 10 nr Wallisville, TX",ST,295013,944549,5,NAD83,29.837077780000001,-94.763594400000002,5,NAD83,N,12030203,2014-05-18,2016-01-03,3
25,USGS,8067252,"Trinity Rv at Wallisville, TX",ST,294844,944352,F,NAD27,29.812443399999999,-94.731308700000000,F,NAD83,M,12030203,2015-05-30,2018-10-25,5
26,USGS,8067500,"Cedar Bayou nr Crosby, TX",ST,295821,945908,F,NAD27,29.972719139999999,-94.985760200000001,F,NAD83,M,12040203,1972-05-12,2020-06-25,49
27,USGS,8067525,"Goose Ck at Baytown, TX",ST,294614,945958,F,NAD27,29.770781970000002,-94.999650299999999,F,NAD83,M,12040203,1985-03-14,2019-10-25,34
28,USGS,8067548,"W Fk San Jacinto Rv nr Huntsville, TX",ST,303845,954030,R,NAD27,30.646029800000001,-95.675224000000000,R,NAD83,D,12040101,2009-12-24,2020-04-10,11
29,USGS,8067600,"Lk Conroe nr Conroe, TX",LK,302130,953339,F,NAD27,30.358540999999999,-95.561054200000001,F,NAD83,M,12040101,--,--,0
30,USGS,8067610,"Lk Conroe Outflow Weir nr Conroe, TX",ST,302123,953337,F,NAD27,30.356596650000000,-95.560498600000003,F,NAD83,M,12040101,1987-08-26,1988-09-29,2
31,USGS,8067650,"W Fk San Jacinto Rv bl Lk Conroe nr Conroe, TX",ST,302031,953234,F,NAD27,30.342152890000001,-95.542997999999997,F,NAD83,M,12040101,1973-06-13,2020-06-01,48
32,USGS,8067700,"Caney Ck nr Dobbin, TX",ST,302113,954835,F,NAD27,30.353818050000001,-95.809949799999998,F,NAD83,M,12040101,1963-05-20,1965-01-22,3
33,USGS,8067900,"Lake Ck nr Conroe, TX",ST,301514,953444,S,NAD83,30.253777780000000,-95.578999999999994,S,NAD83,G,12040101,2002-11-06,2004-02-12,2
34,USGS,8067920,"Lake Ck at Sendera Ranch Rd nr Conroe, TX",ST,301528,953349,1,NAD83,30.257750000000001,-95.563694400000003,1,NAD83,G,12040101,2016-05-27,2020-05-30,5
35,USGS,8068000,"W Fk San Jacinto Rv nr Conroe, TX",ST,301440,952725,F,NAD27,30.244657380000000,-95.457161600000006,F,NAD83,M,12040101,1913,2020-05-30,86
36,USGS,8068090,"W Fk San Jacinto Rv abv Lk Houston nr Porter, TX",ST,300828,952018,5,NAD83,30.141166670000000,-95.338222200000004,5,NAD83,N,12040101,1984-10-26,2020-06-25,36
37,USGS,8068275,"Spring Ck nr Tomball, TX",ST,300711,953845,S,NAD27,30.119938990000001,-95.646055899999993,S,NAD83,D,12040102,2000-05-21,2020-05-29,21
38,USGS,8068325,"Willow Ck nr Tomball, TX",ST,300619,953247,F,NAD27,30.105495260000001,-95.546608399999997,F,NAD83,M,12040102,1984-07-27,2020-06-25,37
39,USGS,8068390,"Bear Br at Research Blvd, The Woodlands, TX",ST,301126,952928,S,NAD83,30.190555560000000,-95.491111099999998,S,NAD83,G,12040102,2000-05-20,2020-06-24,21
40,USGS,8068400,"Panther Br at Gosling Rd, The Woodlands, TX",ST,301131,952901,S,NAD27,30.192159000000000,-95.483828799999998,S,NAD83,M,12040102,2000-05-20,2018-12-08,20
41,USGS,8068450,"Panther Br nr Spring, TX",ST,300803,952839,S,NAD27,30.134383199999998,-95.477717499999997,S,NAD83,D,12040102,1972-05-13,2020-06-25,28
