Path To File,Document Name,CensusIdName,Clean/Final Data,Domain,Subcategory,Data Column Name,Unit of Data,Indicator Name,indicator_name_short,Adverse Direction,Replace NA with median,Parameters,Agency or data source,Year of data release,File Type,Converted to Tract?,Format,Geographic Level,URL,Download Date,GEOID Column Name,missing_data_value,to_process,processed,Notes,Data notes
Health/LifeExpectancy.csv,LifeExpectancy,Census Tract,YES,Health,Overall Physical Health,"Life expectancy at birth, as of 2010-2015.",,Life Expectancy,LifeExpectancy,-1,1,Life Expectancy,Policy Map,2010-2015,CSV,n/a,Census Tract,Census Tract,,05/08/2021,Census Tract,-999,1,1,W Verified. This is a rate.,
Health/PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release.csv,PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release,LocationID,YES,Health,Chronic Disease,CASTHMA,,Current asthma among adults aged >=18 years,CASTHMA,1,1,Current Asthma Over Age 18,"PLACES (BRFSS, RWJ, CDC)","BRFSS 2019 or 2018, Census Bureau 2010 data, and ACS 2015–2019 or 2014–2018 estimates. ",CSV,n/a,Census Tract (Model based),Census Tract (Model based),Link,21/12/2021,LocationName,none,1,1,W Verified. This is a % per total population in CST.,
Health/PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release.csv,PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release,LocationID,YES,Health,Chronic Disease,STROKE,,Stroke among adults aged >=18 years,STROKE,1,1,Stroke,"PLACES (BRFSS, RWJ, CDC)","BRFSS 2019 or 2018, Census Bureau 2010 data, and ACS 2015–2019 or 2014–2018 estimates. ",CSV,n/a,Census Tract (Model based),Census Tract (Model based),Link,21/12/2021,LocationName,none,1,1,W Verified. This is a % per total population in CST.,
Health/PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release.csv,PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release,LocationID,YES,Health,Chronic Disease,COPD,,Chronic obstructive pulmonary disease among adults aged >=18 years,COPD,1,1,COPD,"PLACES (BRFSS, RWJ, CDC)","BRFSS 2019 or 2018, Census Bureau 2010 data, and ACS 2015–2019 or 2014–2018 estimates. ",CSV,n/a,Census Tract (Model based),Census Tract (Model based),Link,21/12/2021,LocationName,none,1,1,W Verified. This is a % per total population in CST.,
Health/PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release.csv,PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release,LocationID,YES,Health,Chronic Disease,CHD,,Coronary heart disease among adults aged >=18 years,CHD,1,1,CHD,"PLACES (BRFSS, RWJ, CDC)","BRFSS 2019 or 2018, Census Bureau 2010 data, and ACS 2015–2019 or 2014–2018 estimates. ",CSV,n/a,Census Tract (Model based),Census Tract (Model based),Link,21/12/2021,LocationName,none,1,1,W Verified. This is a % per total population in CST.,
Health/PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release.csv,PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release,LocationID,YES,Health,Chronic Disease,CANCER,,Cancer (excluding skin cancer) among adults aged >=18 years,CANCER,1,1,Cancer,"PLACES (BRFSS, RWJ, CDC)","BRFSS 2019 or 2018, Census Bureau 2010 data, and ACS 2015–2019 or 2014–2018 estimates. ",CSV,n/a,Census Tract (Model based),Census Tract (Model based),Link,21/12/2021,LocationName,none,1,1,W Verified. This is a % per total population in CST.,
Health/PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release.csv,PLACES__Local_Data_for_Better_Health__Census_Tract_Data_2021_release,LocationID,YES ,Health,Chronic Disease Prevention,ACCESS2,,Current lack of health insurance among adults aged 18-64 years,ACCESS2,1,1,Current Lack of Health Insurance,"PLACES (BRFSS, RWJ, CDC)","BRFSS 2019 or 2018, Census Bureau 2010 data, and ACS 2015–2019 or 2014–2018 estimates. ",CSV,n/a,Census Tract (Model based),Census Tract (Model based),Link,21/12/2021,LocationName,none,1,1,W Verified. This is a % per total population in CST.,
Health/MedicallyUnderserved - coded.csv,MedicallyUnderserved,Census Tract,YES* (see note),Health,Access to Care,"Medically Underserved Areas (MUA), as of 2020.",,MedicallyUnderserved,MedicallyUnderserved,1,n/a,Hospitals (Proximity to health services): Medically Underserved Areas,Policy Map,2020,CSV,n/a,Census Tract,Census Tract,,13/08/2021,Census Tract,none,1,0,"Suggest categorizing as follows: 
Not an MUA or MUP=1
Medically Underserved Area (MUA)=2 (A shortage of primary health care services for residents within a geographic area (e.g., a whole county, a group of neighboring counties, a group of urban census tracts, and others geographic areas). 
Medically Underserved Population (MUP)=3 (Are specific sub- groups of people living in a defined geographic area with a shortage of primary health care services and facing economic, cultural or linguistic barriers to access to health care (e.g., homeless, low-income, Medicaid-eligible, Native American, migrant farmworkers, among others population groups). ",
Social/SVI2018_US.csv,SVI2018_US,FIPS,YES,Social,Socioeconomic Status,EPL_POV,,Below Poverty,BelowPoverty,1,1,,ASTDR,2018,CSV,n/a,Census Tract,Census Tract,Link,03/12/2020,FIPS,-999,1,1,W Verified. Medians calculated separately in R.,
Social/SVI2018_US.csv,SVI2018_US,FIPS,YES,Social,Socioeconomic Status,EPL_UNEMP,,Unemployed,Unemployed,1,1,,ASTDR,2018,CSV,n/a,Census Tract,Census Tract,Link,03/12/2020,FIPS,-999,1,1,W Verified. Medians calculated separately in R.,
Social/SVI2018_US.csv,SVI2018_US,FIPS,YES,Social,Socioeconomic Status,EPL_PCI,,Income,Income,1,1,,ASTDR,2018,CSV,n/a,Census Tract,Census Tract,Link,03/12/2020,FIPS,-999,1,1,W Verified. Medians calculated separately in R.,
