geoid,ACCESS2,CANCER,CASTHMA,CHD,COPD,STROKE
48039660100,16.9,7.2,7.8,5,5.6,2.8
48039660200,18.9,5.6,7.8,4,4.7,2.3
48039660300,18.2,6.1,7.7,4,4.4,2.3
48039660400,19.2,5.2,7.7,3.7,4.2,2.2
48039660500,24.4,5.9,7.9,4.9,5.3,2.8
48039660601,19.3,6.8,7.6,4.7,4.8,2.9
48039660602,20.2,4,7.5,2.7,3.2,1.9
48039660701,17,4.5,7.8,3,3.4,2
48039660702,17.1,4.9,7.4,3.1,3.6,1.9
48039660801,20.3,5,7.6,3.3,3.9,2.1
48039660802,20.9,4.9,8,3.4,4.3,2.1
48039660900,33.8,5,8.6,5.2,6.4,3
48039661000,25.5,6.1,8,5,5.9,2.8
48039661100,30.2,5.4,8.8,5.1,6.6,2.9
48039661200,29.2,5.5,9.1,5.6,7.1,3.2
48039661300,37.9,5.5,9.3,6.9,8.6,3.9
48039661400,26.9,6.8,8.7,6.1,7.5,3.4
48039661501,29.5,6.3,9,6.5,8.2,3.6
48039661502,24.5,6.5,8.7,6.1,7.5,3.4
48039661601,23,6.4,8.3,5.4,6.3,3
48039661602,30.5,5.1,8.6,4.8,6.1,2.7
48039661700,24.3,6.7,8.9,6.1,7.9,3.4
48039661800,25.3,6,8.2,5.1,6.2,3
48039661900,32.2,4.6,7.5,5.4,6,3.3
48039662000,23.1,7.5,8.7,6.6,7.7,3.8
48039662100,24.8,6.2,8.4,5.3,6.2,3.2
48039662200,25.4,5.5,8.7,4.8,6.3,2.9
48039662300,28.2,6.8,9.3,7.2,8.8,4.1
48039662400,25.3,6.7,8.7,6,7.3,3.4
48039662500,23.6,7.7,8.4,6.6,7.1,3.8
48039662600,21.2,7.3,8.5,5.8,6.8,3.3
48039662700,24.5,7.1,9.2,7.6,9.3,4.3
48039662800,24.1,7.5,9.1,7.1,8.4,4.2
48039662900,25.1,6.8,9.1,6.6,8.2,3.8
48039663100,21.9,6.7,7.7,5.6,6.3,3.2
48039663700,26.7,5.3,8.5,4.7,5.8,2.7
48039664000,34.1,5,8.6,5.1,6.3,3
48039664100,30.6,6.3,8.6,6.2,7.5,3.5
48039664200,24.9,7.4,9.2,8.2,10.1,4.4
48071710100,18.3,6.5,8.8,5.1,6.5,2.9
48071710200,20,5.6,8.6,4.3,5.6,2.5
48071710300,21.5,7.4,9.4,6.8,8.1,4.3
48071710401,24.5,7.2,8.9,6.6,7.8,3.7
48071710500,35.3,6.5,10.2,8.5,11.2,4.9
48157670101,42,4,10.2,5,6.5,3.7
48157670102,32.8,4.4,10.6,4.6,6.1,4
48157670200,33.9,4.5,10.5,4.8,6.4,4
48157670300,31,5.3,11.4,6.5,8.3,5.6
48157670400,25.9,5,10.9,4.8,6.2,4.4
48157670500,23.8,5,9.8,4,5.1,3.5
48157670601,22.2,4.9,10.5,4.1,5.2,3.8
48157670602,30.3,4.6,11,5,6.6,4.4
48157670700,20.2,4.9,8.9,3.6,4.1,2.8
48157670800,32.1,3.9,10.6,4,5.6,3.4
48157670901,16.4,5.3,8,3.4,3.9,2.5
48157670902,27.1,3.5,9.1,2.5,3.4,2.1
48157671001,14.4,8.7,8,5.5,5.5,3.2
48157671002,20.5,6.4,9.2,4.8,5.6,3.4
48157671100,28.7,5.2,8.7,4.5,5.3,3.2
48157671200,28.6,4.6,9.4,4.1,5.2,3.2
48157671300,32.3,4.5,9.8,4.8,6.6,3.4
48157671400,26.8,3.5,8.2,3.3,4.2,2.3
48157671501,17.5,5.5,7.2,3.9,4,2.6
48157671502,16,4.8,7.2,3.1,3.3,2.2
48157671601,16.2,5.4,7.1,3.6,3.9,2.2
48157671602,14.4,5.6,7,3.7,3.8,2.2
48157671700,13.7,9.6,7.5,6.8,6.3,3.6
48157671800,25.2,5,8.4,4.1,4.9,2.6
48157671900,17.8,7.2,7.8,5,5.4,2.9
48157672001,22.7,4.9,7.4,4.2,4.7,2.7
48157672002,22.5,4.5,8.1,3.6,4.2,2.4
48157672100,14.5,8.5,6.9,5.7,5.2,3.1
48157672200,16.5,7,7.9,4.7,5.1,2.8
48157672301,24.4,4,7.3,3.4,4,2.3
48157672302,19.6,5.8,7.6,4.1,4.9,2.4
48157672400,27.9,4.6,8.1,3.9,4.7,2.6
48157672500,28.6,4.8,8.5,4.7,5.5,3.2
48157672601,38.1,4.2,9.5,4.8,6.4,3.3
48157672602,26.6,4.1,8.8,3.6,4.5,2.8
48157672701,27.3,4,8.1,3.7,4.5,2.7
48157672702,20.8,4.5,8.2,3.3,4.3,2.3
48157672800,22.1,3.8,7.4,3.1,3.8,2.1
48157672900,21.5,3.8,7.8,2.5,3.2,1.8
48157673001,12.5,6.2,7.6,3.6,4,2.1
48157673002,18.5,5.4,8.1,4,4.9,2.4
48157673003,13.6,4.9,7.1,2.7,3.1,1.6
48157673101,15.9,4.9,7.4,2.8,3.3,1.7
48157673102,15.9,5.7,7.3,3.4,3.8,2
48157673200,14,5.9,7.8,3.4,3.8,2
48157673300,12.9,8.3,8,5.3,5.6,2.9
48157673400,16.8,5.6,7.9,3.5,4.1,2.1
48157673500,16,6.3,8.4,4.3,5.3,2.6
48157673600,15.3,7,8.1,4.4,5.3,2.5
48157673700,36.6,4,7.6,6.1,7.1,3.8
48157673800,20.6,4.4,7.1,3.2,3.8,2
48157673901,14.1,5.5,7,3.6,3.9,2.2
48157673902,15.6,4.3,5.6,2.7,2.5,1.7
48157674000,16.9,6.5,7.2,4.8,5,2.8
48157674100,14.9,6.2,7.5,4.1,4.5,2.4
48157674200,10.6,6.4,6.6,3.7,3.4,2.1
48157674300,15.3,5.1,6.8,3.4,3.5,2.1
48157674400,14.6,5,6.5,3.2,3.4,2
48157674501,16.3,4.9,7.7,2.9,3.3,2
48157674502,17.5,4.8,8,3,3.7,2
48157674601,12.5,8.4,7.4,5,4.8,2.8
48157674602,14.6,5.8,7.6,3.4,3.9,2.1
48157674603,23.2,5.3,8.8,4.2,5.5,2.6
48157674604,18.7,4.4,7.6,2.8,3.3,2
48157674700,20,4.9,7.7,3.5,3.9,2.3
48157674800,38.4,5.6,9.5,6.4,8,3.9
48157674900,48.9,4.7,10.1,7.3,8.7,4.7
48157675000,47.6,4.5,9.3,6.5,7,3.9
48157675100,32.8,5.4,9.1,5.1,6.3,3.2
48157675200,39.6,5.6,9,6,7.3,3.5
48157675300,42.4,5.7,8.8,6.3,7.3,3.7
48157675400,34.1,5.4,8.9,5.4,6.7,3.1
48157675500,24.3,4.8,8.3,3.5,4.3,2.3
48157675600,24,6.3,8.6,5.1,6.5,2.9
48157675700,28.7,6.6,9.3,6.4,8.3,3.8
48157675800,34.5,6.7,10.1,8,9.9,5.1
48167720100,16.5,7.6,7.7,5.4,5.8,2.8
48167720200,13.3,9,7.3,5.9,5.3,2.9
48167720301,16.7,9.1,7.8,6.8,6.7,3.4
48167720302,14.8,7.2,7.7,4.9,5.2,2.6
48167720400,12.7,6.2,7.5,3.9,4.3,2.1
48167720501,17.4,6.5,7.9,4.9,5.4,2.6
48167720502,19.7,5.7,7.8,4.2,4.8,2.4
48167720503,16.3,4.9,7.4,3,3.6,1.7
48167720600,19.6,4.9,7.7,3.3,3.9,1.9
48167720700,18.3,5.6,7.7,4,4.4,2.2
48167720800,24.7,6.9,8.9,6.8,7.5,4.1
48167720900,27.5,6.5,8.7,6.3,7.3,3.5
48167721000,24.6,8.2,9,8.8,10,4.5
48167721100,34.5,5,9.2,5.7,7.4,3.3
48167721201,17.3,5.3,7.8,3.6,4.2,2
48167721202,18.6,5,7.9,3.5,4.3,2
48167721300,21.8,6.4,7.9,5.2,5.8,2.8
48167721400,14.9,6.7,8,5.1,5.6,2.7
48167721500,14.2,7.5,7.5,5,5.1,2.6
48167721600,30,6.7,8.8,6.9,8.5,3.6
48167721700,32.8,5.5,9.1,6.5,8.5,3.5
48167721800,31,6.9,9.8,9.9,12.6,5.1
48167721900,30.1,6,10.2,7,8.7,4.4
48167722001,24,6.2,8.3,5.3,6.1,2.9
48167722002,28.7,7.2,9,7.3,8.5,4.1
48167722100,27.5,7.5,8.8,7.7,8.5,4.1
48167722200,35,6.6,10.2,9,10.2,5.9
48167722300,39.3,5.7,10,8.2,10.1,4.8
48167722600,27.9,6,9.6,6.3,7.3,4.4
48167722700,26.1,7.1,10.2,7.6,7.9,6.1
48167722800,33.4,6.9,10.1,8.7,10.2,5.3
48167722900,30.9,7.6,9.9,9.3,10.8,5.3
48167723000,26.5,7,9.8,7.3,7.8,5.2
48167723100,26.2,7,9.2,7,7.5,4.4
48167723200,25,7,8.7,6.5,7.2,3.7
