geoid,data_value
48039660100,0.02
48039660200,0.09
48039660300,0.08
48039660400,0.11
48039660500,0.14
48039660601,0.03
48039660602,0.08
48039660701,0.04
48039660702,0.05
48039660801,0.08
48039660802,0.04
48039660900,0.27
48039661000,0.12
48039661100,0.24
48039661200,0.16
48039661300,0.38
48039661400,0.15
48039661501,0.24
48039661502,0.17
48039661601,0.16
48039661602,0.21
48039661700,0.29
48039661800,0.19
48039661900,0.18
48039662000,0.18
48039662100,0.25
48039662200,0.11
48039662300,0.15
48039662400,0.23
48039662500,0.22
48039662600,0.19
48039662700,0.23
48039662800,0.26
48039662900,0.22
48039663100,0.13
48039663700,0.18
48039664000,0.18
48039664100,0.18
48039664200,0.2
48071710100,0.15
48071710200,0.1
48071710300,0.36
48071710401,0.29
48071710500,0.35
48071710600,0
48157670101,0.2
48157670102,0.14
48157670200,0.14
48157670300,0.08
48157670400,0.04
48157670500,0.06
48157670601,0.05
48157670602,0.04
48157670700,0.06
48157670800,0.1
48157670901,0.03
48157670902,0.02
48157671001,0.05
48157671002,0.05
48157671100,0.07
48157671200,0.1
48157671300,0.06
48157671400,0.1
48157671501,0.04
48157671502,0.02
48157671601,0.08
48157671602,0.01
48157671700,0.08
48157671800,0.15
48157671900,0.05
48157672001,0.07
48157672002,0.12
48157672100,0.08
48157672200,0.07
48157672301,0.13
48157672302,0.12
48157672400,0.05
48157672500,0.09
48157672601,0.19
48157672602,0.11
48157672701,0.11
48157672702,0.02
48157672800,0
48157672900,0
48157673001,0.02
48157673002,0.05
48157673003,0.01
48157673101,0.04
48157673102,0.03
48157673200,0.03
48157673300,0.04
48157673400,0.03
48157673500,0.04
48157673600,0.04
48157673700,1
48157673800,0.04
48157673901,0.03
48157673902,0.02
48157674000,0.06
48157674100,0.05
48157674200,0.02
48157674300,0.01
48157674400,0
48157674501,0.01
48157674502,0.05
48157674601,0.1
48157674602,0.03
48157674603,0.05
48157674604,0.04
48157674700,0.07
48157674800,0.36
48157674900,0.38
48157675000,0.42
48157675100,0.21
48157675200,0.24
48157675300,0.31
48157675400,0.24
48157675500,0.05
48157675600,0.2
