geoid,T8_est76,T8_est10
48039660100,0,25
48039660200,80,50
48039660300,40,100
48039660400,180,125
48039660500,140,55
48039660601,0,90
48039660602,600,80
48039660701,365,125
48039660702,80,30
48039660801,55,115
48039660802,30,0
48039660900,105,70
48039661000,0,65
48039661100,55,35
48039661200,180,40
48039661300,160,20
48039661400,10,95
48039661501,65,25
48039661502,4,45
48039661601,230,135
48039661602,65,15
48039661700,45,50
48039661800,0,40
48039661900,50,70
48039662000,50,45
48039662100,50,55
48039662200,45,35
48039662300,120,10
48039662400,85,35
48039662500,0,60
48039662600,55,95
48039662700,10,25
48039662800,65,100
48039662900,65,35
48039663100,30,10
48039663700,65,45
48039664000,120,30
48039664100,70,40
48039664200,75,40
48071710100,75,10
48071710200,70,325
48071710300,55,35
48071710401,65,165
48071710500,80,90
48071710600,0,0
48157670101,100,50
48157670102,90,20
48157670200,100,50
48157670300,65,15
48157670400,50,55
48157670500,15,55
48157670601,55,40
48157670602,4,10
48157670700,20,25
48157670800,30,150
48157670901,0,60
48157670902,15,25
48157671001,25,50
48157671002,60,50
48157671100,15,115
48157671200,10,50
48157671300,180,20
48157671400,195,65
48157671501,105,55
48157671502,4,25
48157671601,60,0
48157671602,0,55
48157671700,50,90
48157671800,40,15
48157671900,0,10
48157672001,205,130
48157672002,140,55
48157672100,4,35
48157672200,20,25
48157672301,60,25
48157672302,20,40
48157672400,115,85
48157672500,40,70
48157672601,70,0
48157672602,70,55
48157672701,130,135
48157672702,20,75
48157672800,45,55
48157672900,165,295
48157673001,85,50
48157673002,160,35
48157673003,0,40
48157673101,125,155
48157673102,215,55
48157673200,0,95
48157673300,0,75
48157673400,50,115
48157673500,70,65
48157673600,0,60
48157673700,0,0
48157673800,80,30
48157673901,0,60
48157673902,45,70
48157674000,150,15
48157674100,10,120
48157674200,0,4
48157674300,50,35
48157674400,60,90
48157674501,45,25
48157674502,110,90
48157674601,25,15
48157674602,10,45
48157674603,65,65
48157674604,0,50
48157674700,25,145
48157674800,260,0
48157674900,175,50
48157675000,75,4
48157675100,155,90
48157675200,240,45
48157675300,190,65
48157675400,115,90
48157675500,15,90
48157675600,10,35
48157675700,60,85
48157675800,50,70
48167720100,15,170
48167720200,80,35
48167720301,15,10
48167720302,15,55
48167720400,0,50
48167720501,20,50
48167720502,65,80
48167720503,0,65
48167720600,30,0
48167720700,200,85
48167720800,160,15
48167720900,115,115
48167721000,10,40
48167721100,85,140
48167721201,330,95
48167721202,15,55
48167721300,135,0
48167721400,75,55
48167721500,45,35
48167721600,40,25
48167721700,105,135
48167721800,100,105
48167721900,530,70
48167722001,0,60
48167722002,70,35
48167722100,0,115
48167722200,190,25
48167722300,140,30
48167722600,60,0
48167722700,95,105
48167722800,90,15
48167722900,45,60
48167723000,200,50
48167723100,125,40
48167723200,65,55
48167723300,60,50
48167723400,80,50
48167723501,30,10
48167723502,95,50
48167723600,50,35
48167723700,90,4
48167723800,35,65
48167723900,35,35
48167724000,60,15
