geoid,fordq_rate
48039660100,0.083
48039660200,0.079
48039660300,0.07
48039660400,0.076
48039660500,0.101
48039660900,0.12
48039661000,0.119
48039661100,0.128
48039661200,0.144
48039661300,0.153
48039661400,0.109
48039661700,0.117
48039661800,0.106
48039661900,0.111
48039662000,0.092
48039662100,0.087
48039662200,0.1
48039662300,0.128
48039662400,0.112
48039662500,0.11
48039662600,0.109
48039662700,0.097
48039662800,0.12
48039662900,0.102
48039663100,0.057
48039663700,0.094
48039664000,0.105
48039664100,0.126
48039664200,0.086
48071710100,0.079
48071710200,0.077
48071710300,0.123
48071710500,0.123
48071710600,0.027
48157670200,0.188
48157670300,0.194
48157670400,0.179
48157670500,0.165
48157670700,0.158
48157670800,0.156
48157671100,0.112
48157671200,0.133
48157671300,0.131
48157671400,0.069
48157671700,0.05
48157671800,0.091
48157671900,0.105
48157672100,0.037
48157672200,0.057
48157672400,0.125
48157672500,0.13
48157672800,0.064
48157672900,0.086
48157673200,0.058
48157673300,0.054
48157673400,0.065
48157673500,0.061
48157673600,0.087
48157673700,0.199
48157673800,0.061
48157674000,0.049
48157674100,0.062
48157674200,0.028
48157674300,0.047
48157674400,0.041
48157674700,0.078
48157674800,0.094
48157674900,0.124
48157675000,0.148
48157675100,0.135
48157675200,0.127
48157675300,0.137
48157675400,0.112
48157675500,0.081
48157675600,0.089
48157675700,0.101
48157675800,0.123
48167720100,0.078
48167720200,0.066
48167720400,0.059
48167720600,0.085
48167720700,0.066
48167720800,0.111
48167720900,0.11
48167721000,0.092
48167721100,0.13
48167721300,0.082
48167721400,0.07
48167721500,0.071
48167721600,0.121
48167721700,0.13
48167721800,0.114
48167721900,0.106
48167722100,0.132
48167722200,0.173
48167722300,0.165
48167722600,0.179
48167722700,0.161
48167722800,0.163
48167722900,0.146
48167723000,0.177
48167723100,0.136
48167723200,0.137
48167723300,0.099
48167723400,0.106
48167723600,0.11
48167723700,0.163
48167723800,0.072
48167723900,0.086
48167724000,0.117
48167724200,0.064
48167724300,0.071
48167724400,0.104
48167724500,0.073
48167724600,0.148
48167724700,0.169
48167724800,0.121
48167724900,0.127
48167725000,0.135
48167725100,0.169
48167725200,0.19
48167725300,0.098
48167725400,0.142
48167725500,0.067
48167725600,0.093
48167725700,0.076
48167725800,0.101
48167725900,0.066
48167726000,0.062
48167726100,0.063
48185180101,0.108
48185180102,0.107
48185180200,0.095
48185180301,0.087
48185180302,0.11
48199030100,0.114
48199030200,0.069
48199030300,0.073
48199030400,0.117
48199030501,0.059
48199030502,0.07
48199030600,0.071
48199030700,0.102
48199030800,0.089
48199030900,0.104
48199031000,0.1
48201100000,0.084
48201210100,0.073
48201210400,0.156
48201210500,0.13
48201210600,0.107
48201210700,0.136
48201210800,0.203
48201210900,0.182
48201211000,0.182
48201211100,0.179
48201211200,0.179
48201211300,0.184
48201211400,0.095
48201211500,0.165
48201211600,0.175
48201211700,0.202
48201211900,0.15
48201220100,0.213
48201220200,0.14
48201220300,0.172
48201220400,0.156
48201220500,0.136
48201220600,0.151
48201220700,0.18
48201220800,0.183
48201220900,0.164
48201221000,0.167
48201221100,0.147
48201221200,0.166
48201221300,0.146
48201221400,0.153
48201221500,0.148
48201221600,0.149
48201221700,0.165
48201221800,0.169
48201221900,0.186
48201222000,0.186
48201222100,0.186
48201222200,0.175
48201222300,0.169
48201222600,0.094
48201222700,0.16
48201222800,0.17
48201222900,0.16
48201223100,0.174
48201230100,0.217
48201230200,0.207
48201230300,0.207
48201230400,0.204
48201230500,0.195
48201230600,0.21
48201230700,0.188
48201230800,0.189
48201230900,0.187
48201231000,0.186
48201231100,0.197
48201231200,0.183
48201231300,0.184
48201231400,0.215
48201231500,0.206
48201231600,0.187
48201231700,0.191
48201231800,0.191
48201231900,0.209
48201232000,0.192
48201232100,0.184
48201232200,0.085
48201232500,0.172
48201232600,0.127
48201232800,0.134
48201232900,0.125
48201233200,0.147
48201233300,0.148
48201233400,0.146
48201233500,0.145
48201233600,0.188
48201240100,0.156
48201240400,0.112
48201240600,0.161
48201241000,0.122
48201241200,0.123
48201241300,0.09
48201241400,0.1
48201250100,0.119
48201250200,0.114
48201250500,0.095
48201250600,0.124
48201250800,0.067
48201250900,0.038
48201251000,0.048
48201251100,0.075
48201251200,0.068
48201251300,0.067
48201251600,0.086
48201251700,0.105
48201251800,0.098
48201252000,0.072
48201252100,0.116
48201252200,0.109
48201252400,0.145
48201252500,0.159
48201252600,0.122
48201252700,0.11
48201252800,0.15
48201252900,0.115
48201253000,0.143
48201253100,0.094
48201253200,0.081
48201253300,0.107
48201253400,0.138
48201253500,0.119
48201253600,0.076
48201253700,0.131
48201253800,0.11
48201253900,0.113
48201254000,0.109
48201254100,0.134
48201254200,0.159
48201254300,0.121
48201254400,0.16
48201254500,0.139
48201254600,0.139
48201254700,0.086
48201310100,0.074
48201310200,0.063
48201310300,0.115
48201310400,0.174
48201310500,0.135
48201310600,0.135
48201310700,0.103
48201310800,0.133
48201310900,0.159
48201311000,0.174
48201311100,0.161
48201311200,0.126
48201311300,0.136
48201311400,0.173
48201311500,0.131
48201311600,0.021
48201311700,0.14
48201311800,0.134
48201311900,0.146
48201312000,0.106
48201312100,0
48201312200,0.174
48201312300,0.066
48201312400,0.173
48201312500,0.055
48201312600,0.083
48201312700,0.163
48201312800,0.175
48201312900,0.158
48201313000,0.145
48201313100,0.045
48201313200,0.118
48201313300,0.172
48201313400,0.183
48201313500,0.197
48201313600,0.186
48201313700,0.179
48201313800,0.185
48201313900,0.075
48201314300,0.126
48201320100,0.149
48201320200,0.141
48201320500,0.146
48201320700,0.129
48201320800,0.141
48201320900,0.148
48201321000,0.147
48201321100,0.131
48201321200,0.197
48201321300,0.114
48201321500,0.158
48201321600,0.13
48201321700,0.117
48201321800,0.147
48201321900,0.154
48201322000,0.134
48201322100,0.149
48201322200,0.163
48201322600,0.119
48201322700,0.149
48201322800,0.167
48201322900,0.158
48201323000,0.131
48201323100,0.128
48201323200,0.134
48201323300,0.142
48201323400,0.158
48201323500,0.106
48201323600,0.111
48201323900,0.109
48201324000,0.093
48201330100,0.114
48201330200,0.139
48201330400,0.185
48201330500,0.172
48201330600,0.175
48201330700,0.173
48201330800,0.129
48201330900,0.117
48201331100,0.185
48201331200,0.206
48201331300,0.209
48201331400,0.217
48201331500,0.156
48201331700,0.189
48201331800,0.193
48201331900,0.204
48201332000,0.194
48201332100,0.199
48201332200,0.191
48201332300,0.213
48201332400,0.207
48201332500,0.178
48201332600,0.157
48201332700,0.139
48201332800,0.142
48201332900,0.145
48201333000,0.147
48201333100,0.106
48201333300,0.137
48201333500,0.127
48201333600,0.131
48201333700,0.142
48201333800,0.132
48201340100,0.096
48201340400,0.047
48201340500,0.073
48201340600,0.062
48201340700,0.082
48201340800,0.052
48201340900,0.108
48201341000,0.087
48201341100,0.088
48201341400,0.053
48201341600,0.071
48201341700,0.087
48201341800,0.077
48201342100,0.105
48201342200,0.128
48201342300,0.131
48201342400,0.12
48201342500,0.092
48201342700,0.09
48201342800,0.07
48201342900,0.094
48201343000,0.106
48201343100,0.117
48201343200,0.094
48201350100,0.069
48201350200,0.123
48201350300,0.105
48201350400,0.123
48201350500,0.129
