geoid,"Estimated percent of all housing units built 1940 to 1969, as of"
48039660100,10.4
48039660200,6.13
48039660300,9.49
48039660400,10.83
48039660500,23.01
48039660601,2.24
48039660602,1.5
48039660701,0
48039660702,3.67
48039660801,9.27
48039660802,6.78
48039660900,7.31
48039661000,9.57
48039661100,9.14
48039661200,27.6
48039661300,45.23
48039661400,44.93
48039661501,16.96
48039661502,18.7
48039661601,20.3
48039661602,10.93
48039661700,28.05
48039661800,8.34
48039661900,8.08
48039664200,31.5
48071710100,7.79
48071710200,1.92
48071710300,14.62
48071710401,32.2
48071710500,19.28
48071710600,-999
48157670101,15.86
48157670102,1.71
48157670200,12.82
48157670300,12.92
48157670400,8.08
48157670500,8.99
48157670601,2.42
48157670602,1.63
48157670700,4.61
48157670800,2.02
48157670901,0.41
48157670902,0.35
48157671001,1.7
48157671002,4.57
48157671100,4.43
48157671200,9.04
48157671300,9.76
48157671800,7.96
48157671900,5.05
48157672001,0.83
48157672002,0
48157672301,2.92
48157672302,5.41
48157672400,0
48157672500,1.89
48157672601,5.63
48157672602,0.61
48157672701,0.34
48157672900,0.11
48157673001,1.08
48157673002,0
48157673003,1.74
48157673101,0
48157673102,0
48157673200,2.26
48157673400,1.72
48157674501,1.21
48157674502,3.12
48167720100,19.41
48167720200,10.66
48167720301,17.43
48167720302,3.51
48167720400,1.96
48167720501,7.2
48167720502,9.17
48167720503,1.01
48167720600,2.35
48167720700,7.93
48167720800,25.95
48167720900,35.01
48167721000,41.21
48167721100,7.38
48167721201,2.85
48167721202,4.86
48167721300,20.12
48167721400,0.79
48167721500,6.13
48167721600,42.3
48167721700,15.09
48167721800,17.25
48167721900,15.51
48167722001,11.57
48167722002,21.97
48167722100,69.98
48167722200,54.31
48167722300,68.67
48167722600,30.83
48167722700,29.02
48167722800,42.02
48167722900,71.75
48167723000,48.96
48167723100,17.96
48167723200,24.69
48167723300,11.86
48167723400,14.58
48167723501,19.65
48167723502,16.94
48167723600,29.18
48167723700,25.98
48167723800,13.25
48167723900,18.14
48167724000,17.7
48167724101,18.55
48167724200,35.79
48167724300,26.64
48167724400,41.9
48167724500,23.63
48167724600,26
48167724700,53.86
48167724800,49.29
48167724900,48.98
48167725000,67.71
48167725100,60.58
48167725200,43
48167725300,61.23
48167725400,49.65
48167725500,52.25
48167725600,17.5
48167725700,26.45
48167725800,15.66
48167725900,4.78
48167726000,8.39
48167726100,10.64
48167726200,51.32
48185180102,10.21
48185180200,21.41
48185180301,16.15
48185180302,15.83
48201100000,15.12
48201210100,15.25
48201210400,44.2
48201210500,50.72
48201210600,65.18
48201210700,58.72
48201210800,58.13
48201210900,56.92
48201211000,66.24
48201211100,52.71
48201211200,60.83
48201211300,49.79
48201211400,36.96
48201211500,62.95
48201211600,40.2
48201211700,64.2
48201211900,68.77
48201212300,42.34
48201212400,76.69
48201212500,84.52
48201220100,67.87
48201220200,59
48201220300,76.05
48201220400,71.23
48201220500,42.67
48201220600,59.57
48201220700,48.29
48201220800,46.02
48201220900,56.23
48201221000,67.32
48201221100,58.03
48201221200,88.93
48201221300,75.08
48201221400,80.9
48201221500,43.88
48201221600,67.61
48201221700,50.23
48201221800,37.31
48201221900,63.68
48201222000,87.38
48201222100,74.48
48201222200,60.5
48201222300,57.79
48201222401,61.52
48201222402,35.22
48201222501,50.18
48201222502,11.73
48201222503,22.43
48201222600,8.66
48201222700,23.87
48201222800,42.05
48201222900,11.04
48201223001,83.99
48201223002,32.08
48201223100,37.87
48201230100,53.48
48201230200,62.36
48201230300,62.34
48201230400,60.86
48201230500,81.04
48201230600,65.88
48201230700,58.06
48201230800,72.45
48201230900,52.39
48201231000,60.38
48201231100,56.11
48201231200,15.45
48201231300,10.93
48201231400,82.04
48201231500,81.72
48201231600,85.44
48201231700,44.73
48201231800,33.3
48201231900,45.01
48201232000,40.48
48201232100,44.78
48201232200,6.71
48201232301,3.29
48201232302,5.41
48201232401,10.21
48201232402,1.44
48201232403,1.63
48201232500,49.29
48201232600,75.35
48201232701,16.94
48201232702,29.02
48201232800,6.57
48201232900,1.84
48201233001,30.76
48201233002,7.79
48201233003,37.35
48201233101,41.1
48201233102,20.94
48201233103,40.68
48201233200,78.09
48201233300,74.28
48201233400,61.96
48201233500,74.58
48201233600,72.43
48201233701,80.52
48201233702,71.45
48201233703,83.58
48201240100,27.31
48201240400,3.99
48201240501,5.69
48201240502,4.98
48201240600,5.47
48201240701,0
48201240702,0
48201240801,12.19
48201240802,2.27
48201240901,2.22
48201240902,2.75
48201241000,4.53
48201241101,0.71
48201241102,3.74
48201241103,0
48201241200,1.53
