geoid,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ
48071710600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
48201312100,-999,0.9174,0.9993,0,0,0.004,0.0224,0,0.7572,0,0,-999,0,-999,0.9975
48201412100,-999,0.7529,0.9991,0,0,0.0081,0.0027,0,0.7593,0.2009,0,-999,0,-999,0.9975
48245011202,-999,-999,0.9989,0.9095,0.0062,0.0051,-999,0,0.7675,0.5286,0,-999,0,-999,0.9975
48245011203,-999,-999,0.9999,0.959,0.0272,0.013,-999,0,0.7883,0.4326,0,-999,0,-999,0.9975
48245011302,-999,-999,0.9873,0.846,0.0145,0,-999,0,0.8388,0.8492,0,-999,0,-999,0.9975
48039660100,0.0783,0.3946,0.1976,0.1839,0.6931,0.547,0.2919,0.0749,0.5901,0.5866,0,0,0.1999,0,0
48039660200,0.275,0.368,0.2896,0.2134,0.2236,0.7954,0.0901,0.2589,0.574,0.2767,0.5129,0.7495,0.3601,0.2488,0.44
48039660300,0.0925,0.0412,0.2637,0.2887,0.2604,0.8749,0.2331,0.5432,0.5827,0.4695,0.7195,0,0.181,0.3599,0.6972
48039660400,0.369,0.2583,0.246,0.2646,0.0983,0.9313,0.1423,0.5147,0.6582,0.6859,0.7115,0,0.675,0.2714,0
48039660500,0.3547,0.3411,0.3722,0.4696,0.2604,0.7858,0.2054,0.3595,0.7168,0.7442,0.2111,0.7882,0.5682,0.0696,0
48039660601,0.1259,0.4601,0.1687,0.4846,0.5816,0.6582,0.4038,0.3837,0.7445,0.6979,0,0,0.4815,0,0.6699
48039660602,0.0833,0.2065,0.1947,0.3346,0.0847,0.8625,0.0948,0.1797,0.8263,0.7759,0.7819,0.7599,0.675,0.0696,0.5476
48039660701,0.2803,0.2193,0.1352,0.0888,0.1017,0.9294,0.1604,0.3022,0.7445,0.615,0.8728,0.4741,0.5935,0.1283,0.5476
48039660702,0.1259,0.2452,0.2082,0.1545,0.117,0.9334,0.1544,0.4237,0.7055,0.5963,0.8012,0.7775,0.1999,0.3026,0.5476
48039660801,0.0347,0.0853,0.2751,0.2422,0.153,0.8559,0.1728,0.4558,0.7126,0.4516,0.7012,0.6555,0.6159,0.1722,0.44
48039660802,0.0141,0.5217,0.2542,0.3735,0.0384,0.8749,0.008,0.1382,0.7156,0.7085,0,0.7495,0.5814,0.0383,0.3791
48039661000,0.4783,0.0766,0.4423,0.4696,0.4887,0.6384,0.2621,0.4476,0.6425,0.7695,0,0.8606,0.7766,0.4134,0
48039661300,0.8122,0.681,0.8735,0.8722,0.3513,0.7954,0.6878,0.9344,0.6766,0.7986,0.3977,0.851,0.8175,0.5118,0
48039661601,0.6479,0.5334,0.4516,0.4605,0.6371,0.3759,0.4555,0.5362,0.58,0.615,0.7132,0.7746,0.7604,0.312,0
48039662000,0.4498,0.8412,0.462,0.6337,0.5008,0.7401,0.4332,0.1797,0.5077,0.7879,0.5557,0.8151,0.8431,0.3216,0.3791
48039662100,0.5201,0.567,0.3796,0.7659,0.7445,0.3422,0.2696,0.6919,0.6574,0.6736,0.733,0.8784,0.8494,0.5903,0.5476
48039662300,0.7849,0.2452,0.7053,0.7034,0.2938,0.9025,0.5154,0.7428,0.6334,0.6736,0.6654,0.7099,0.6658,0.695,0.5022
48039662400,0.1368,0.6468,0.4667,0.739,0.5501,0.6253,0.2474,0.5769,0.4975,0.7029,0.6234,0.7253,0.513,0.7179,0.8588
48039662500,0.498,0.3272,0.3757,0.6631,0.5139,0.7128,0.3964,0.8702,0.5353,0.5286,0.3594,0.7633,0.513,0.3964,0.8875
48039662600,0.3255,0.8375,0.4915,0.4988,0.4523,0.4336,0.5224,0.621,0.6104,0.6979,0.5129,0.8188,0,0.1389,0
48039662800,0.6067,0.567,0.4878,0.6597,0.7093,0.7613,0.665,0.7818,0.4726,0.5153,0.6418,0.8113,0.84,0.4134,0.7313
48039663700,0.56,0.4219,0.2938,0.5467,0.0914,0.8805,0.0615,0.6267,0.654,0.5014,0.7571,0.7465,0.5682,0.4848,0
48039664000,0.5414,0.6468,0.6099,0.8551,0.2771,0.8177,0.4862,0.3107,0.8146,0.8348,0.8641,0.8272,0.2952,0.6912,0
48039664200,0.7218,0.8518,0.444,0.7635,0.5753,0.2401,0.6992,0.3595,0.5077,0.6393,0.3792,0.8468,0.7766,0.3876,0.6699
