cell_id,value
2282106,0
2282107,0
2282108,0
2282109,0
2282110,0
2282111,0
2282112,0
2282113,0
2282114,0
2282115,0
2282116,0
2282117,0
2282118,0
2282119,0
2282120,0
2282121,0
2282122,0
2282123,0
2282124,0
2282125,1.329852819442749
2282126,2.3768980503082275
2284208,0
2284209,0
2284210,0
2284211,0
2284212,0
2284213,0
2284214,0
2284215,0
2284216,0
2284217,0
2284218,0
2284219,0
2284220,0
2284221,0
2284222,0
2284223,0
2284224,0
2284225,0
2284226,0
2284227,0
2284228,0
2284229,0
2284230,0
2284231,0
2284232,0
2284233,0
2284234,0
2284235,0
2284236,0
2284237,0
2284238,0
2284239,0
2284240,0
2284241,0
2284242,0
2284243,0
2284244,0
2284245,0
2284246,0
2284247,0
2284248,0
2284249,0
2284250,0
2284251,0
2284252,0
2284253,0
2284254,0
2284255,1.348915696144104
2284256,1.3229038715362549
2284257,2.3000874519348145
2284258,2.5746355056762695
2286310,0
2286311,0
2286312,0
2286313,0.7682580947875977
2286314,1.0587892532348633
2286315,1.0813236236572266
2286316,1.1056938171386719
2286317,1.1331043243408203
2286318,0
2286319,0
2286320,0
2286321,0
2286322,0
2286323,0
2286324,0
2286325,0
2286326,0
2286327,0
2286328,0
2286329,0
2286330,0
2286331,0
2286332,0
2286333,0
2286334,0
2286335,0
2286336,0
2286337,0
2286338,0
2286339,0
2286340,0
2286341,0
2286342,0
2286343,0
2286344,0
2286345,0
2286346,0
2286347,0
2286348,0
2286349,0
2286350,0
2286351,0
2286352,0
2286353,0
2286354,0
2286355,0
2286356,0
2286357,0
2286358,0
2286359,0
2286360,0
2286361,0
2286362,0
2286363,0
2286364,0
2286365,0
2286366,0
2286367,0
2286368,0
2286369,0
2286370,0
2286371,0
2286372,0
2286373,0
2286374,0
2286375,0
2286376,0
2286377,0
2286378,0
2286379,0
2286380,0
2286381,0
2286382,0
2286383,0
2286384,0
2286385,0
2286388,2.307251453399658
2288411,0
2288412,0
2288413,0
2288414,0
2288415,0
2288416,0
2288417,0
2288418,0
2288419,0
2288420,0
2288421,0
2288422,0
2288423,0
2288424,0
2288425,0
2288426,0
2288427,0
2288428,0
2288429,0
2288430,0
2288431,0
2288432,0
2288433,0
2288434,0
2288435,0
2288436,0
2288437,0
2288438,0
2288439,0
2288440,0
2288441,0
2288442,0
2288443,0
2288444,0
2288445,0.7458295822143555
2288446,1.0392942428588867
2288447,1.064077377319336
2288448,1.0894231796264648
2288449,1.113297462463379
2288450,0.8448324203491211
2288451,0
2288452,0
2288453,0
2288454,0
2288455,0
2288456,0
2288457,0
2288458,0
2288459,0
2288460,0
2288461,0
2288462,0
2288463,0
2288464,0
2288465,0
2288466,0
2288467,0
2288468,0
2288469,0
2288470,0
2288471,0
2288472,0
2288473,0
2288474,0
2288475,0
2288476,0
2288477,0
2288478,0
2288479,0
2288480,0
2288481,0
2288482,0
2288483,0
2288484,0
2288485,0
2288486,0
2288487,0
2288488,0
2288489,0
2288490,0
2288491,0
2288492,0
2288493,0
2288494,0
2288495,0
2288496,0
2288497,0
2288498,0
2288499,0
2288500,0
2288501,0
2288502,0
2288503,0
2288504,0
2288505,0
2288506,0
2288507,0
2288508,0
2288509,0
2288510,0
2288511,0
2288512,0
2288513,0
2288514,0
2288515,0
2288516,0
2288517,2.544684648513794
2290519,0
2290520,0
2290521,0
2290522,0
2290523,0
2290524,0
2290525,0
2290526,0
2290527,0
2290528,0
2290529,0
2290530,0
2290531,0
2290532,0
2290533,0
2290534,0
2290535,0
2290536,0
2290537,0
2290538,0
2290539,0
2290540,0
2290541,0
2290542,0
2290543,0
2290544,0
2290545,0
2290546,0
2290547,0
2290548,0
2290549,0
2290550,0
2290551,0
2290552,0
2290553,0
2290554,0
2290555,0
2290556,0
2290557,0
2290558,0
2290559,0
2290560,0
2290561,0
2290562,0
2290563,0
2290564,0
2290565,0
2290566,0
2290567,0
2290568,0
2290569,0
2290570,0
2290571,0
2290572,0
2290573,0
2290574,0
2290575,0
2290576,0
2290577,0.7458295822143555
2290578,1.0392942428588867
2290579,1.0478897094726562
2290580,1.0723047256469727
2290581,1.0951995849609375
2290582,1.122511863708496
2290583,0.891603946685791
2290584,0
2290585,0
2290586,0
2290587,0
2290588,0
2290589,0
2290590,0
2290591,0
2290592,0
2290593,0
2290594,0
2290595,0
2290596,0
2290597,0
2290598,0
2290599,0
2290600,0
2290601,0
2290602,0
2290603,0
2290604,0
2290605,0
2290606,0
2290607,0
2290608,0
2290609,0
2290610,0
2290611,0
2290612,0
2290613,0
2290614,0
2290615,0
2290616,0
2290617,0
2290618,0
2290619,0
2290620,0
2290621,0
2290622,0
2290623,0
2290624,0
2290625,0
2290626,0
2290627,0
2290628,0
2290629,0
2290630,0
2290631,0
2290632,0
2290633,0
2290634,0
2290635,0
2290636,0
2290637,0
2290638,0
2290639,0
2290640,0
2290641,0
2290642,0
2290643,0
2290644,0
2290645,0
2290646,0
2290647,0
2292651,0
2292652,0
2292653,0
2292654,0
2292655,0
2292656,0
2292657,0
2292658,0
2292659,0
2292660,0
2292661,0
2292662,0
2292663,0
2292664,0
2292665,0
2292666,0
2292667,0
2292668,0
2292669,0
2292670,0
2292671,0
2292672,0
2292673,0
2292674,0
2292675,0
2292676,0
2292677,0
2292678,0
2292679,0
2292680,0
2292681,0
2292682,0
2292683,0
2292684,0
2292685,0
2292686,0
2292687,0
2292688,0
2292689,0
2292690,0
2292691,0
2292692,0
2292693,0
2292694,0
2292695,0
2292696,0
2292697,0
2292698,0
2292699,0
2292700,0
2292701,0
2292702,0
2292703,0
2292704,0
2292705,0
2292706,0
2292707,0
2292708,0
2292709,0
2292710,1.0223798751831055
2292711,1.0478897094726562
2292712,1.0723047256469727
2292713,1.0951995849609375
2292714,1.1037225723266602
2292715,1.1296825408935547
2292716,0
2292717,0
2292718,0
2292719,0
2292720,0
2292721,0
2292722,0
2292723,0
2292724,0
2292725,0
2292726,0
2292727,0
2292728,0
2292729,0
2292730,0
2292731,0
2292732,0
2292733,0
2292734,0
2292735,0
2292736,0
2292737,0
2292738,0
2292739,0
2292740,0
2292741,0
2292742,0
2292743,0
2292744,0
2292745,0
2292746,0
2292747,0
2292748,0
2292749,0
2292750,0
2292751,0
2292752,0
2292753,0
2292754,0
2292755,0
2292756,0
2292757,0
2292758,0
2292759,0
2292760,0
2292761,0
2292762,0
2292763,0
2292764,0
2292765,0
2292766,0
2292767,0
2292768,0
2292769,0
2292770,0
2292771,0
2292772,0
2292773,0
2292774,0
2292775,0
2292776,0
2292777,0
2292778,0
2292779,0
2294783,0
2294784,0
2294785,0
2294786,0
2294787,0
2294788,0
2294789,0
2294790,0
2294791,0
2294792,0
2294793,0
2294794,0
2294795,0
2294796,0
2294797,0
2294798,0
2294799,0
2294800,0
2294801,0
2294802,0
2294803,0
2294804,0
2294805,0
2294806,0
2294807,0
2294808,0
2294809,0
2294810,0
2294811,0
2294812,0
2294813,0
2294814,0
2294815,0
2294816,0
2294817,0
2294818,0
2294819,0
2294820,0
2294821,0
2294822,0
2294823,0
2294824,0
2294825,0
2294826,0
2294827,0
2294828,0
2294829,0
2294830,0
2294831,0
2294832,0
2294833,0
2294834,0
2294835,0
2294836,0
2294837,0
2294838,0
2294839,0
2294840,0
2294841,0
2294842,0.9653253555297852
2294843,1.0315265655517578
2294844,1.0569725036621094
2294845,1.0800580978393555
2294846,1.1037225723266602
2294847,1.1296825408935547
2294848,0
2294849,0
2294850,0
2294851,0
2294852,0
2294853,0
2294854,0
2294855,0
2294856,0
2294857,0
2294858,0
2294859,0
2294860,0
2294861,0
2294862,0
2294863,0
2294864,0
2294865,0
2294866,0
2294867,0
2294868,0
2294869,0
2294870,0
2294871,0
2294872,0
2294873,0
2294874,0
2294875,0
2294876,0
2294877,0
2294878,0
2294879,0
2294880,0
2294881,0
2294882,0
2294883,0
2294884,0
2294885,0
2294886,0
2294887,0
2294888,0
2294889,0
2294890,0
2294891,0
2294892,0
2294893,0
2294894,0
2294895,0
2294896,0
2294897,0
2294898,0
2294899,0
2294900,0
2294901,0
2294902,0
2294903,0
2294904,0
2294905,1.4081147909164429
2294906,2.103771686553955
2294907,2.107974052429199
2294908,2.034146308898926
2296915,0
2296916,0
2296917,0
2296918,0
2296919,0
2296920,0
2296921,0
2296922,0
2296923,0
2296924,0
2296925,0
2296926,0
2296927,0
2296928,0
2296929,0
2296930,0
2296931,0
2296932,0
2296933,0
2296934,0
2296935,0
2296936,0
2296937,0
2296938,0
2296939,0
2296940,0
2296941,0
2296942,0
2296943,0
2296944,0
2296945,0
2296946,0
2296947,0
2296948,0
2296949,0
2296950,0
2296951,0
2296952,0
2296953,0
2296954,0
2296955,0
2296956,0
2296957,0
2296958,0
2296959,0
2296960,0
2296961,0
2296962,0
2296963,0
2296964,0
2296965,0
2296966,0
2296967,0
2296968,0
2296969,0
2296970,0
2296971,0
2296972,0
2296973,0
2296974,0
2296975,1.0143260955810547
2296976,1.0402402877807617
2296977,1.063359260559082
2296978,1.087820053100586
2296979,1.11224365234375
2296980,1.1416091918945312
2296981,0
2296982,0
2296983,0
2296984,0
2296985,0
2296986,0
2296987,0
2296988,0
2296989,0
2296990,0
2296991,0
2296992,0
2296993,0
2296994,0
2296995,0
2296996,0
2296997,0
2296998,0
2296999,0
2297000,0
2297001,0
2297002,0
2297003,0
2297004,0
2297005,0
2297006,0
2297007,0
2297008,0
2297009,0
2297010,0
2297011,0
2297012,0
2297013,0
2297014,0
2297015,0
2297016,0
2297017,0
2297018,0
2297019,0
2297020,0
2297021,0
2297022,0
2297023,0
2297024,0
2297025,0
2297026,0
2297027,0
2297028,0
2297029,0
2297030,0
2297031,0
2297032,0
2297033,0
2297034,2.0560665130615234
2299047,0
2299048,0
2299049,0
2299050,0
2299051,0
2299052,0
2299053,0
2299054,0
2299055,0
2299056,0
2299057,0
2299058,0
2299059,0
2299060,0
2299061,0
2299062,0
2299063,0
2299064,0
2299065,0
2299066,0
2299067,0
2299068,0
2299069,0
2299070,0
2299071,0
2299072,0
2299073,0
2299074,0
2299075,0
2299076,0
2299077,0
2299078,0
2299079,0
2299080,0
2299081,0
2299082,0
2299083,0
2299084,0
2299085,0
2299086,0
2299087,0
2299088,0
2299089,0
2299090,0
2299091,0
2299092,0
2299093,0
2299094,0
2299095,0
2299096,0
2299097,0
2299098,0
2299099,0
2299100,0
2299101,0
2299102,0
2299103,0
2299104,0
2299105,0
2299106,0
2299107,0
2299108,1.0214309692382812
2299109,1.046112060546875
2299110,1.0710783004760742
2299111,1.0952157974243164
2299112,1.1155757904052734
2299113,1.1570663452148437
2299114,0
2299115,0
2299116,0
2299117,0
2299118,0
2299119,0
2299120,0
2299121,0
2299122,0
2299123,0
2299124,0
2299125,0
2299126,0
2299127,0
2299128,0
2299129,0
2299130,0
2299131,0
2299132,0
2299133,0
2299134,0
2299135,0
2299136,0
2299137,0
2299138,0
2299139,0
2299140,0
2299141,0
2299142,0
2299143,0
2299144,0
2299145,0
2299146,0
2299147,0
2299148,0
2299149,0
2299150,0
2299151,0
2299152,0
2299153,0
2299154,0
2299155,0
2299156,0
2299157,0
2299158,0
2299159,0
2299160,0
2299161,0
2299162,0
2299163,0
2299164,0
2301179,0
2301180,0
2301181,0
2301182,0
2301183,0
2301184,0
2301185,0
2301186,0
2301187,0
2301188,0
2301189,0
2301190,0
2301191,0
2301192,0
2301193,0
2301194,0
2301195,0
2301196,0
2301197,0
2301198,0
2301199,0
2301200,0
2301201,0
2301202,0
2301203,0
2301204,0
2301205,0
2301206,0
2301207,0
2301208,0
2301209,0
2301210,0
2301211,0
2301212,0
2301213,0
2301214,0
2301215,0.2673830986022949
2301216,0.2673830986022949
2301217,0
2301218,0
2301219,0
2301220,0
2301221,0
2301222,0
2301223,0
2301224,0
2301225,0
2301226,0
2301227,0
2301228,0
2301229,0
2301230,0
2301231,0
2301232,0
2301233,0
2301234,0
2301235,0
2301236,0
2301237,0
2301238,0
2301239,0
2301240,0
2301241,1.0292491912841797
2301242,1.0544157028198242
