REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,CITY_NAME,COUNTY_NAME,FIPS_CODE,POSTAL_CODE,CENSUS_BLOCK_CODE,LATITUDE83,LONGITUDE83,ACCURACY_VALUE,REF_POINT_DESC,HDATUM_DESC
110000460732,SAMPSON STREET FACILITY,1 N. SAMPSON,HOUSTON,HARRIS,48201,77003-1823,4.82E+14,29.75144,-95.3389,30,CENTER OF A FACILITY OR STATION,NAD83
110000460741,GCP APPLIED TECHNOLOGIES,4323 CRITES ST,HOUSTON,HARRIS,48201,77003-1311,4.82E+14,29.75406,-95.32737,30,CENTER OF A FACILITY OR STATION,NAD83
110000460787,TEXAS TILE MANUFACTURING,1705 OLIVER ST.,HOUSTON,HARRIS,48201,77007,4.82E+14,29.7745,-95.3873,NA,CENTER OF FACILITY,NAD83
110000460821,FOSTER PRODUCTS CORP,6107 INDUSTRIAL WAY,HOUSTON,HARRIS,48201,77011,4.82E+14,29.75166,-95.310432,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83
110000460885,VALERO REFINING - TEXAS LP HOUSTON REFINERY,9701 MANCHESTER ST,HOUSTON,HARRIS,48201,77012,4.82E+14,29.722274,-95.254401,NA,CENTER OF A FACILITY OR STATION,NAD83
110000460901,HOUSTON PLANT,8615 MANCHESTER RD,HOUSTON,HARRIS,48201,77012,NA,NA,NA,NA,NA,NAD83
110000460910,HOUSTON PLANT,101 CONCRETE ST.,HOUSTON,HARRIS,48201,77012,4.82E+14,29.72061,-95.27017,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83
110000460947,"GEORGIA PACIFIC RESINS, INC.",1503 HADEN RD.,HOUSTON,HARRIS,48201,77015-6455,4.82E+14,29.76598,-95.17991,30,CENTER OF A FACILITY OR STATION,NAD83
110000460965,GB BIOSCIENCES CORP,2239 HADEN RD.,HOUSTON,HARRIS,48201,770156493,4.82E+14,29.7625,-95.171389,25,CENTER OF FACILITY,NAD83
110000460983,MONUMENT CHEMICAL HOUSTON,16717 JACINTOPORT BLVD,HOUSTON,HARRIS,48201,77015,4.82E+14,29.75487,-95.10327,30,CENTER OF A FACILITY OR STATION,NAD83
110000461009,MERISOL GREENS BAYOU PLANT,1914 HADEN RD,HOUSTON,HARRIS,48201,77015,4.82E+14,29.760745,-95.176749,1945,FACILITY CENTROID,NAD83
110000461045,REICHHOLD REACTIVE POLYMERS DIVISION HOUSTON PLANT,1503 HADEN RD.,HOUSTON,HARRIS,48201,77015,4.82E+14,29.76543,-95.17896,30,CENTER OF A FACILITY OR STATION,NAD83
