X,Y,REGISTRY_ID,Previous_S,Source,Location_S,New_,LOCATION_ADDRESS,PRIMARY_NAME,CITY_NAME,COUNTY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,FAC_COLLEC,LONGITUDE8,FAC_ACCURA,REF_POINT_DESC,AIR,FAC_DERIVE,AIRS_AFS,E_GGRT,EIS,ICIS,ICIS_old,NPDES,OSHA_OIS,RCRAINFO,RMP,SEMS_CERCL,TRIS,NAICS1,TX_TCEQ_AC,NAICS2,NAICS3,NAICS4,NAICS5,ID,NAICS6,lat_merge,lon_merge,lon_match,lat_match
-95.36292,29.78273,110000460803,,SEMS,,Y,2408 EVERETT ST.,DEE FOUNDRIES INC.,HOUSTON,HARRIS,TX,77009,29.78273,ADDRESS MATCHING-HOUSE NUMBER,-95.36292,30,CENTER OF A FACILITY OR STATION,,12040104,,,,7826421,,TXR05Z817,,,,TXN000607053,,,,,,,,1,,29.78273,-95.36292,1,1
-95.41163,29.88653,110000461465,,ECHO/FRS,,Y,8700 NORTH FREEWAY,EXXON COMPANY USA HOUSTON,HOUSTON,HARRIS,TX,77037,29.88653,ADDRESS MATCHING-HOUSE NUMBER,-95.41163,30,CENTER OF A FACILITY OR STATION,TX0000004820100084,12040104,,,4926711,0,,,,TXD000803338,,,0,424710,RN100212745,,,,,2,,29.88653,-95.41163,1,1
-95.12822,29.86819,110000461731,,ECHO,,Y,10521 SHELDON RD.,EVANS HOUSTON CORPORATION,HOUSTON,HARRIS,TX,77044,29.86819,ADDRESS MATCHING-HOUSE NUMBER,-95.12822,30,CENTER OF A FACILITY OR STATION,TX0000004820100435,12040104,,,"4777311,missing NEI",0,TXR05BX12,,,TXD000835157,,,77044VNSCP10521,42469,,424690,42269,49319,332439,3,0,29.86819,-95.12822,1,1
-94.89949,29.37514,110000463775,,EIS - Keep,,Y,301 DOCK RD,DALLAS GROUP OF AMERICA,TEXAS CITY,GALVESTON,TX,77590,29.37514,INTERPOLATION-MAP,-94.89949,2,CENTER OF FACILITY,0,12040204,,,17109811,0,,,,0,,,0,325180,,,,,,4,,29.37514,-94.89949,1,1
-94.91111,29.36194,110000463846,,ECHO/FRS,,Y,159 LEVEE RD.,INTERCOASTAL TERMINAL INCORPORATED,TEXAS CITY,GALVESTON,TX,77592,29.36194,UNKNOWN,-94.91111,17400,POINT WHERE SUBSTANCE IS RELEASED,0,12040204,,,"4853811,missing NEI",0,,,,0,,,77592NTRCS159LE,424710,,,,,,5,,29.36194,-94.91111,1,1
-95.34403,29.78794,110000495152,,ECHO/FRS,,Y,2661 STEVENS STREET,HOUSTON HOUSTON TERMINAL,HOUSTON,HARRIS,TX,77026,29.78794,ADDRESS MATCHING-HOUSE NUMBER,-95.34403,30,CENTER OF A FACILITY OR STATION,TX0000004820100116,12040104,4820100116,,"3687711,missing NEI",0,,,,TXD059336602,,,77026MTVNT2661S,424710,RN100226125,,,,,6,,29.78794,-95.34403,1,1
-95.096977,29.550229,110000495189,,SEMS,,Y,2101 NASA ROAD 1,NASA LYNDON B. JOHNSON SPACE CENTER,HOUSTON,HARRIS,TX,77058-3691,29.550229,INTERPOLATION-SATELLITE,-95.096977,0,CENTER OF A FACILITY OR STATION,,12040204,,,,0,,,,,,TX8800016125,,,,,,,,7,,29.550229,-95.096977,1,1
-95.182761,29.715552,110000497800,,ECHO/FRS,,Y,100 JEFFERSON RD,PHILLIPS 66 PASADENA PRODUCT TERMINAL,PASADENA,HARRIS,TX,77506,29.715552,ADDRESS MATCHING-HOUSE NUMBER,-95.182761,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004820100152,12040104,4820100152,,4058111,0,,,,TXD074157637,,,77501PHLLP100JE,424710,RN101062610,,,,,8,,29.715552,-95.182761,1,1
-94.91434,29.37735,110000503054,,ECHO/FRS,,Y,700 14TH STREET SOUTH,TEXAS CITY TERMINAL,TEXAS CITY,GALVESTON,TX,77590,29.37735,ADDRESS MATCHING-HOUSE NUMBER,-94.91434,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004816700014,12040204,,,"16638311,missing NEI",0,,TXG341522,,TXD000838698,,,0,424710,,,,,,9,,29.37735,-94.91434,1,1
-95.096375,29.735078,110000504268,,ECHO/FRS,,Y,1943 BATTLEGROUND RD.,"INTERCONTINENTAL TERMINALS COMPANY, LLC",DEER PARK,HARRIS,TX,77536,29.735078,INTERPOLATION-SATELLITE,-95.096375,18700,CENTER OF A FACILITY OR STATION,TX0000004820100153,12040104,,,6422011,0,,,,TXD073912974,,,0,493190,RN100210806,,,,,10,,29.735078,-95.096375,1,1
