REGISTRY_ID,postal_code,formatted_address,lat,lng,location_type,geocode_result,geocode_attempt
110000461526,77041,"4494 Campbell Rd, Houston, TX 77041, USA",29.8373514,-95.5272838,ROOFTOP,success,1
110000464168,77701,"2810 Gulf States Rd, Beaumont, TX 77701, USA",30.0600952,-94.0585072,ROOFTOP,success,1
110000464195,77705,"1400 Olin Rd, Beaumont, TX 77705, USA",30.0439561,-94.0682279,ROOFTOP,success,1
110000464239,77705,"14385 W Port Arthur Rd, Beaumont, TX 77705, USA",29.9677884,-94.0507143,ROOFTOP,success,1
110000619545,77511,"401 Callaway Dr, Alvin, TX 77511, USA",29.419846,-95.2656655,RANGE_INTERPOLATED,success,1
110005020645,77584,"18401 Amoco St, Pearland, TX 77584, USA",29.5091083,-95.2713836,RANGE_INTERPOLATED,success,1
110005078110,77001,"Houston, TX 77001, USA",29.77,-95.37,APPROXIMATE,success,1
110005079066,77573,"FM1266, League City, TX 77573, USA",29.5024404,-95.0447785,GEOMETRIC_CENTER,success,1
110005129761,77068,"Bammel, Houston, TX 77068, USA",30.0068875,-95.4635502,APPROXIMATE,success,1
110005192255,77503,"Tenneco Rd, Texas 77503, USA",29.713349,-95.148759,GEOMETRIC_CENTER,success,1
110005193352,77049,"17403 Wallisville Rd, Houston, TX 77049, USA",29.824611,-95.1124494,ROOFTOP,success,1
110006123854,77445,"Cemetery Rd, Hempstead, TX 77445, USA",30.0856347,-96.0671973,GEOMETRIC_CENTER,success,1
110006124381,77511,"County Rd 169, Alvin, TX 77511, USA",29.3390704,-95.2350181,GEOMETRIC_CENTER,success,1
110006129661,77665,"Winnie, TX 77665, USA",29.8310204,-94.4182089,APPROXIMATE,success,1
110006132504,77511,"1030 1/2 County Rd 129, Alvin, TX 77511, USA",29.5027847,-95.2263617,ROOFTOP,success,1
110008060622,77704,"1 Gulf States Rd, Beaumont, TX 77704, USA",30.0600802,-94.0391711,ROOFTOP,success,1
110008153844,NA,"Hwy 255, Texas, USA",31.0635821,-94.0689756,GEOMETRIC_CENTER,success,1
110008153871,77306,"Hwy 105 E, Cut and Shoot, TX 77306, USA",30.3251535,-95.3939878,GEOMETRIC_CENTER,success,1
110008154335,77640,"Port Acres, TX 77640, USA",29.8796363,-93.9776389,APPROXIMATE,success,1
110008156967,77564,"Hull, TX 77564, USA",30.190141,-94.7070616,APPROXIMATE,success,1
