model_run_datetime,model_info,model_time_interval,site_no,subbasin,name,NSE,PBIAS,RMSE
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08076500,146,"Halls Bayou at Houston, TX",0.6571468962293411,-9.920394897764602,133.62266141912852
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08076000,121,"Greens Bayou nr Houston, TX",0.6239491724271947,-34.78721087700847,362.21199512494127
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08068500,48,"Spring Ck nr Spring, TX",0.6158646897492313,-1.0107209755967923,794.7931605812547
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08069000,78,"Cypress Ck nr Westfield, TX",0.6133462481314976,4.062930398415906,656.8169393835556
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08067500,95,"Cedar Bayou nr Crosby, TX",0.5808104058463526,7.565681523355507,272.34734208230856
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08074500,184,"Whiteoak Bayou at Houston, TX",0.5628585736745072,-17.29934209924802,545.1171994476503
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08070500,12,"Caney Ck nr Splendora, TX",0.5053592591365175,-3.4415886439581973,214.61112564296735
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08075770,175,"Hunting Bayou at IH 610, Houston, TX",0.4965812729177158,-1.9099784571566325,117.25915137928916
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08075000,249,"Brays Bayou at Houston, TX",0.4230927064067326,-33.45036073975781,815.193811858035
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08071000,21,"Peach Ck at Splendora, TX",0.332162336501578,-19.79143528355141,264.85884609131597
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08071280,44,"Luce Bayou abv Lk Houston nr Huffman, TX",0.3313362310049357,-3.4696454455684624,458.42280556309817
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08076997,291,"Clear Ck at Mykawa St nr Pearland, TX",0.30919532254162285,-4.76862725246089,132.86853905131073
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08070200,36,"E Fk San Jacinto Rv nr New Caney, TX",0.2112103281192519,21.69352091707443,626.9403806063038
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08073700,221,"Buffalo Bayou at Piney Point, TX",-0.04098867282985519,-29.81900821517849,959.1878817050291
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08068090,37,"W Fk San Jacinto Rv abv Lk Houston nr Porter, TX",-0.2184422461817741,71.73274850960794,1815.6765057676937
"4 May 2022, 14:00:00",20050101_20141231_res_c,daily,08074000,209,"Buffalo Bayou at Houston, TX",-0.6635980633114105,-29.052980182271018,973.2707307100462
